hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	in_omim	in_panelapp_uk
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	protein-coding gene	gene with protein product	Approved	22q13.2	22q13.2	A14GALT|Gb3S|P(k)	Gb3 synthase|CD77 synthase|globotriaosylceramide synthase|lactosylceramide 4-alpha-galactosyltransferase	P1	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)|P one antigen (P blood group)|alpha 1,4-galactosyltransferase (P blood group)	Alpha 1,4-glycosyltransferases|Blood group antigens	442|454	2002-02-06		2023-11-07	2023-11-07	53947	ENSG00000128274	OTTHUMG00000150744	uc062ewl.1		NM_017436	CCDS14041	Q9NPC4	10854428|20971946	True	False
HGNC:13666	AAAS	aladin WD repeat nucleoporin	protein-coding gene	gene with protein product	Approved	12q13.13	12q13.13		aladin|Allgrove, triple-A|adracalin		achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)|achalasia, adrenocortical insufficiency, alacrimia	WD repeat domain containing|Nucleoporins	362|1051	2000-11-08		2015-12-14	2024-06-07	8086	ENSG00000094914	OTTHUMG00000169729	uc001scr.5	AJ289841	NM_001173466		Q9NRG9	11062474|12196509	True	True
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	protein-coding gene	gene with protein product	Approved	15q23	15q23	FLJ11506|p34						2009-07-20		2017-06-13	2023-01-20	79719	ENSG00000103591	OTTHUMG00000172246	uc002aqk.6	AL136715	NM_024666	CCDS42050|CCDS61679	Q6PD74	11230166|10477754	True	True
HGNC:20	AARS1	alanyl-tRNA synthetase 1	protein-coding gene	gene with protein product	Approved	16q22.1	16q22.1	CMT2N|AlaRS	alanine tRNA ligase 1, cytoplasmic	AARS	alanyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class II	132	1995-07-11	2019-07-15	2019-07-15	2023-01-20	16	ENSG00000090861	OTTHUMG00000177042	uc002eyn.2	D32050	NM_001605	CCDS32474	P49588	8595897	True	True
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	protein-coding gene	gene with protein product	Approved	6p21.1	06p21.1	KIAA1270|bA444E17.1	alanine tRNA ligase 2, mitochondrial	AARSL	alanyl-tRNA synthetase like|alanyl-tRNA synthetase 2, mitochondrial (putative)	Aminoacyl tRNA synthetases, Class II	132	2003-05-08	2007-02-23	2012-10-26	2023-01-20	57505	ENSG00000124608	OTTHUMG00000014766	uc010jza.2	AB033096	NM_020745	CCDS34464	Q5JTZ9	15779907|21549344	True	True
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	protein-coding gene	gene with protein product	Approved	7q31.32	07q31.32	LORSDH|LKRSDH|LKR/SDH	alpha-aminoadipic semialdehyde synthase|lysine ketoglutarate reductase/saccharopine dehydrogenase|saccharopine dehydrogenase (NAD(+), L-glutamate-forming)|saccharopine dehydrogenase (NADP(+), L-lysine-forming)					2002-01-09			2024-06-14	10157	ENSG00000008311	OTTHUMG00000157058	uc003vkb.4	AF229180	NM_005763	CCDS5783	Q9UDR5	10775527|36128717	True	True
HGNC:23	ABAT	4-aminobutyrate aminotransferase	protein-coding gene	gene with protein product	Approved	16p13.2	16p13.2	GABAT|GABA-T	4-aminobutyrate transaminase|gamma-aminobutyrate aminotransferase|GABA transaminase					1996-03-13			2023-01-20	18	ENSG00000183044	OTTHUMG00000048201	uc002czc.5	L32961	NM_020686		P80404	7721088	True	True
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	protein-coding gene	gene with protein product	Approved	9q31.1	09q31.1	TGD	Tangier disease	ABC1|HDLDT1	ATP-binding cassette, sub-family A (ABC1), member 1	ATP binding cassette subfamily A	805	2005-03-17		2015-11-13	2024-09-16	19	ENSG00000165029	OTTHUMG00000020417	uc004bcl.4	AJ012376	NM_005502	CCDS6762	O95477	8088782|10431236|10431237|10431238	True	True
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	protein-coding gene	gene with protein product	Approved	9q34.3	09q34.3			ABC2	ATP-binding cassette, sub-family A (ABC1), member 2	ATP binding cassette subfamily A	805	1994-03-16		2015-11-13	2023-01-20	20	ENSG00000107331	OTTHUMG00000020958	uc064xhf.1	U18235	NM_001606	CCDS43909|CCDS94538|CCDS94539	Q9BZC7	8088782	True	True
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	protein-coding gene	gene with protein product	Approved	16p13.3	16p13.3	ABC-C|EST111653|LBM180		ABC3	ATP-binding cassette, sub-family A (ABC1), member 3	ATP binding cassette subfamily A	805	1996-08-08		2015-11-13	2024-09-16	21	ENSG00000167972	OTTHUMG00000128845	uc002cpy.2	U78735	NM_001089	CCDS10466	Q99758	8706931	True	True
